2018-12-10 18:04:18.491 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTeachFeatureSyncJob stop success. cost time:2273ms |
2018-12-10 18:04:20.848 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherFriendGroupSyncJob stop success. cost time:4631ms |
2018-12-10 18:04:20.892 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherAssistantRelationExtendSyncJob stop success. cost time:42ms |
2018-12-10 18:04:29.293 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherStatisticSyncJob stop success. cost time:8398ms |
2018-12-10 18:04:40.866 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherDistrictSyncJob stop success. cost time:24648ms |
2018-12-10 18:05:01.102 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherAssistantRelationSyncJob stop success. cost time:42608ms |
2018-12-10 18:05:12.077 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherMediaSyncJob stop success. cost time:10972ms |
2018-12-10 18:05:15.101 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherKABCLevelSyncJob stop success. cost time:45805ms |
2018-12-10 18:05:17.692 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherCertificationSyncJob stop success. cost time:61473ms |
2018-12-10 18:05:27.024 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherStatisticForTASyncJob stop success. cost time:46155ms |
2018-12-10 18:05:32.613 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherSourceRelationSyncJob stop success. cost time:20532ms |
2018-12-10 18:05:54.594 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherAttributeTagSyncJob stop success. cost time:98381ms |
2018-12-10 18:05:54.629 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherCourseInfoSyncJob stop success. cost time:98414ms |
2018-12-10 18:06:06.276 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherEvaluatedPhraseSyncJob stop success. cost time:48582ms |
2018-12-10 18:06:23.583 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherEducationExperienceSyncJob stop success. cost time:68478ms |
2018-12-10 18:06:37.325 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherHonorsSyncJob stop success. cost time:64708ms |
2018-12-10 18:07:11.142 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherCourseContentPackageNameSyncJob stop success. cost time:33814ms |
2018-12-10 18:08:06.356 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherCoursePackageSyncJob stop success. cost time:131724ms |
2018-12-10 18:08:39.989 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherCourseContentPackageSupportStatusSyncJob stop success. cost time:33630ms |
2018-12-10 18:08:48.892 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherSchoolSyncJob stop success. cost time:145304ms |
2018-12-10 18:09:05.054 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTeachingExperienceSyncJob stop success. cost time:218027ms |
2018-12-10 18:09:17.212 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherSuccCasesSyncJob stop success. cost time:202615ms |
2018-12-10 18:09:23.034 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTeachingRoleSyncJob stop success. cost time:5810ms |
2018-12-10 18:10:34.696 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTeachingTimeSyncJob stop success. cost time:268416ms |
2018-12-10 18:10:45.904 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherPhraseSyncJob stop success. cost time:389685ms |
2018-12-10 18:12:06.043 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-ensureTeacherLevelSyncJob stop success. cost time:91343ms |
2018-12-10 18:13:00.675 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherSyncJob stop success. cost time:524462ms |
2018-12-10 18:13:37.458 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTextbookSyncJob stop success. cost time:254421ms |
2018-12-10 18:13:53.683 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherStudentSupplyJob stop success. cost time:402538ms |
2018-12-10 18:13:54.083 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherOnOffShelfJob stop success. cost time:305189ms |
2018-12-10 18:17:26.786 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherBiStatisticEsSyncJob stop success. cost time:501725ms |
2018-12-10 18:19:06.849 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherForewarningJob stop success. cost time:626857ms |
2018-12-10 18:19:07.507 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTeachingResearchInfoExtendSyncJob stop success. cost time:656ms |
2018-12-10 18:19:35.771 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTutorTeachingRelationSyncJob stop success. cost time:28263ms |
2018-12-10 18:19:36.408 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTutorTeachingRelationExtendSyncJob stop success. cost time:635ms |
2018-12-10 18:19:56.439 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherTeachingResearchInfoSyncJob stop success. cost time:149649ms |
2018-12-10 18:20:00.661 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherDailyTimeSyncJob stop success. cost time:4220ms |
2018-12-10 18:20:14.506 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-courseStatisticCountSyncJob stop success. cost time:568600ms |
2018-12-10 18:20:14.511 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-answerTeacherAccountSyncJob stop success. cost time:4ms |
2018-12-10 18:20:14.515 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-answerTeacherInfoSyncJob stop success. cost time:3ms |
2018-12-10 18:20:41.283 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherLastCommunicationSyncJob stop success. cost time:460604ms |
2018-12-10 18:20:48.032 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-userCommonAppraiseStatisticSyncJob stop success. cost time:6747ms |
2018-12-10 18:20:48.039 searchsync INFO:  10.1.162.213 | pre |  |  |  | sync.job.SyncJobBase | is_vm:1 | full sync online-teacher_index_7-3-0-1-teacherBackgroundStatusSyncJob stop success. cost time:4ms |
